ID,Título,Categoria,Preço Unitário,Preço Promocional,Quantidade Vendas,Editora
1,O Milagre da Manhã,Desenvolvimento Pessoal,"45,0","28,0",10,BestSeller
2,Pense e Enriqueça,Desenvolvimento Pessoal,"60,0","35,0",23,Fundamento
3,O Poder do Hábito,Psicologia/Negócios,"55,0","32,0",8,Objetiva
4,A Mágica da Arrumação,Autoajuda/Organização,"50,0","30,0",9,Sextante
5,Desperte Seu Gigante Interior,Desenvolvimento Pessoal,"40,0","25,0",9,BestSeller
6,Os Segredos da Mente Milionária,Desenvolvimento Pessoal/Finanças,"60,0","35,0",11,Sextante
7,Os 7 Hábitos das Pessoas Altamente Eficazes,Desenvolvimento Pessoal/Liderança,"45,0","28,0",13,BestSeller
8,A Única Coisa,Produtividade,"55,0","32,0",10,Novo Século
9,O Poder do Agora,Espiritualidade/Autoajuda,"70,0","40,0",12,Sextante
10,O Homem Mais Rico da Babilônia,Finanças/Autoajuda,"45,0","28,0",6,HarperCollins Brasil
11,A Guerra da Arte,Criatividade/Desenvolvimento Pessoal,"60,0","35,0",11,Casa da Palavra
12,A Ciência para Ficar Rico,Desenvolvimento Pessoal,"55,0","32,0",10,Saraiva
13,A Arte da Felicidade,Desenvolvimento Pessoal/Espiritualidade,"50,0","30,0",7,Martins Fontes
14,O Monge e o Executivo,Liderança/Desenvolvimento Pessoal,"40,0","25,0",10,Sextante
15,Inteligência Emocional,Psicologia,"60,0","35,0",14,Objetiva
16,A Lei do Triunfo,Desenvolvimento Pessoal,"45,0","28,0",10,Fundamento
17,A Mente Organizada,Psicologia/Produtividade,"55,0","32,0",13,Objetiva
